company,linkedin_url,time cost,msg,success
DELOITTE TOUCHE TOHMATSU,https://www.linkedin.com/company/deloitte?elqTrack=true,3,,true
PWC CONSULTING,https://www.linkedin.com/company/pwc,9,,true
General Mills,https://www.linkedin.com/company/general-mills,17,,true
Acosta Sales and Marketing-US Nutrition,,24,no available result,false
Hallmark Marketing Corporation,,37,no available result,false
White River Hardwoods,https://www.linkedin.com/company/white-river-hardwoods-woodworks-inc,46,,true
AINS Inc,https://www.linkedin.com/company/ains_inc,53,,true
Insperity ,https://www.linkedin.com/company/insperity,61,,true
Five Guys Burger & Fries,https://www.linkedin.com/company/five-guys-burger-&-fries,68,,true
TILLDECEMBER,https://www.linkedin.com/news/story/global-covid-cases-top-60m-4986076/,75,,true
ARRAIGN TECHNOLOGIES,https://www.linkedin.com/company/arraign-technologies-pvt-ltd,83,,true
Professional Development Group,https://www.linkedin.com/company/the-professional-development-group,90,,true
RWD Technologies,,97,no available result,false
Acceptto,https://www.linkedin.com/company/acceptto,105,,true
OneLogin,https://www.linkedin.com/company/onelogin,111,,true
BeyondTrust,https://www.linkedin.com/company/beyondtrust,118,,true
Waste Management,https://www.linkedin.com/company/waste-management,137,,true
NICE-inContact,https://www.linkedin.com/company/niceincontact,144,,true
Pendo.io,https://www.linkedin.com/company/pendo-io,154,,true
GoSecure,https://www.linkedin.com/company/gosecure,162,,true
eOriginal,https://www.linkedin.com/company/eoriginal-inc-,170,,true
DUNBAR SECURITY SOLUTIONS,https://www.linkedin.com/showcase/dunbar-security-solutions,178,,true
SMSA Express Co. Ltd,https://www.linkedin.com/company/smsaexpress,189,,true
Upwork,https://www.linkedin.com/company/upwork,197,,true
GigaOm,https://www.linkedin.com/company/gigaom,204,,true
Commercial and Civilian,,216,no available result,false
Government and Customer Success Programs,https://www.linkedin.com/business/learning/blog/government/workplace-learning-report-government-edition,223,,true
SOLENIS LLC,https://www.linkedin.com/company/solenis,230,,true
AMERICAN ACADEMY OF PROFESSIONAL CODERS,https://www.linkedin.com/company/american-academy-of-professional-coders,237,,true
W.B. Saunders Company,,243,no available result,false
"OMG Solutions, LLC",,251,no available result,false
Schoology,https://www.linkedin.com/company/schoology,258,,true
Falcon.io,https://www.linkedin.com/company/falconio,265,,true
Wireless ESN  ,,277,no available result,false
"Brightpoint, Inc",https://www.linkedin.com/company/brightpoint,284,,true
Broadbeam Corporation,,291,no available result,false
"Compunetix, Inc",https://www.linkedin.com/company/compunetix,302,,true
Belk,https://www.linkedin.com/company/belk,309,,true
Corey's Bootery,,321,no available result,false
Poly Inc,https://www.linkedin.com/company/poly-inc,328,,true
Avaya Communications,https://www.linkedin.com/company/avaya,335,,true
Weston Distance Learning,https://www.linkedin.com/company/weston-distance-learning,342,,true
Broadcast Solutions,https://www.linkedin.com/company/broadcastsolutions,350,,true
BikeInsure,,357,no available result,false
Xpedite Systems | Premiere Global,,365,no available result,false
Orleans Firebirds,,373,no available result,false
MICRO STRATEGIES,,381,no available result,false
1010data Services,https://www.linkedin.com/company/1010data,392,,true
Splice Machine,https://www.linkedin.com/company/splice-machine,400,,true
Contentserv Corportation,https://www.linkedin.com/pub/dir/Anneliese/Heckmann,407,,true
Stibo Systems,https://www.linkedin.com/company/stibosystems,414,,true
Atria Mortgage Group,,422,no available result,false
Earthlink,https://www.linkedin.com/company/earthlink-internet,429,,true
Tektronix Service Solutions,,440,no available result,false
HomeAdvisor,https://www.linkedin.com/company/homeadvisor,448,,true
UNIVERSITY OF SOUTH CAROLINA CIRCLE OF SISTERHOOD,https://www.linkedin.com/school/uofsc/,459,,true
SCDNR DIVERSITY OUTREACH,,466,no available result,false
"TAM Technologies, LLC",https://www.linkedin.com/company/tam-technologies-llc,474,,true
Blue Door Networks LLC,https://www.linkedin.com/company/blue-door,484,,true
LUCENT PUBLIC SAFETY SYSTEMS,,491,no available result,false
Federal Data Corporation,https://www.linkedin.com/company/data-federal,498,,true
MightyHive Inc.,https://www.linkedin.com/company/mightyhive,506,,true
IBM,https://www.linkedin.com/company/ibm,514,,true
InceptionPad Inc,https://www.linkedin.com/company/inceptionpad-inc,521,,true
San Diego Convention Center Corp,https://www.linkedin.com/company/san-diego-convention-center-corporation,529,,true
FRANKLIN COVEY,https://www.linkedin.com/company/franklin-covey-co,536,,true
U.S. Naval Academy,https://www.linkedin.com/school/united-states-naval-academy/,543,,true
Baumer Sensors & Automation,https://www.linkedin.com/company/baumer-group,555,,true
Colby Coe Construction,,562,no available result,false
M3COM,https://www.linkedin.com/company/m3-health-europe,569,,true
"Edge Systems, Inc",,576,no available result,false
"Elite Systems, Inc",https://www.linkedin.com/company/elite-systems-inc-,583,,true
SOVOS COMPLIANCE,https://www.linkedin.com/company/sovos,590,,true
BuyerTool,,601,no available result,false
Telnyx,https://www.linkedin.com/company/telnyx,608,,true
Hilton Washington and Capital Hilton,https://www.linkedin.com/company/washingtonhilton,615,,true
HBR GLOBAL LLC,,622,no available result,false
Lucent Technologies,https://www.linkedin.com/company/lucent-technologies,630,,true
"Yelp, Inc",https://www.linkedin.com/company/yelp-com,637,,true
Point of Rental,,649,no available result,false
Zippy Shell USA,,661,no available result,false
Tailor Media Group,https://www.linkedin.com/company/rainstorm-media-group,668,,true
"Central Pennsylvania, and Delaware",https://www.linkedin.com/company/central-pennsylvania-transportation-inc-,675,,true
Zebra Technologies,https://www.linkedin.com/company/zebra-technologies,683,,true
"Going Mobile, LLC",,690,no available result,false
Zachary Piper Companies,https://www.linkedin.com/company/zachary-piper-solutions,696,,true
Real World Strength Systems,,704,no available result,false
Avanos Medical,https://www.linkedin.com/company/avanos-medical,711,,true
The Bill Walton Show,,718,no available result,false
Chick-fil-A,https://www.linkedin.com/company/chick-fil-a-corporate/jobs,725,,true
Ryan Wittman Closing LLC,,732,no available result,false
"AAC, Inc",https://www.linkedin.com/company/aac-inc,741,,true
NIS Solutions,https://www.linkedin.com/company/nis-solutions,749,,true
Government Solutions-Systems Engineering Services,,757,no available result,false
Lockheed Martin/MSD,,764,no available result,false
EVERIS / NTT DATA,https://www.linkedin.com/company/everis,773,,true
Hewlett Packard Inc,,779,no available result,false
CLOSELINE SETTLEMENTS INSURANCE AGENCY,https://www.linkedin.com/company/closeline-llc,792,,true
GOOD EARTH GARDEN MARKET NURSERY,,799,no available result,false
Decision One Mortgage,https://www.linkedin.com/company/decision-one-mortgage,806,,true
Digestive Health division,,814,no available result,false
Terrapin Insurance Group,,822,no available result,false
H2O.ai,https://www.linkedin.com/company/h2oai,829,,true
IoT Symphony,https://www.linkedin.com/company/symphonyiot,839,,true
ClickFox,,847,no available result,false
Netezza  ,https://www.linkedin.com/company/netezza,854,,true
Informix  ,,866,no available result,false
Acosta,https://www.linkedin.com/company/acosta,875,,true
Becton-Schantz  ,https://www.linkedin.com/company/becton-schantz-inc,882,,true
Quorum Analytics Inc,https://www.linkedin.com/company/quorum-analytics-inc-,890,,true
VAPELLI Independent Business Consulting,,903,no available result,false
b.well Connected Health,,915,no available result,false
"ShoreIT Solutions, LLC",https://www.linkedin.com/company/shoreit-solutions-llc,924,,true
Carroll County Board of Education,,931,no available result,false
IPDS,https://www.linkedin.com/company/ipdatasystems,938,,true
Rigil Corporation,,950,no available result,false
Konica Minolta,https://www.linkedin.com/company/konicaminolta,957,,true
Nokia Networks,https://www.linkedin.com/company/nokia,964,,true
Monmouth Telecom,https://www.linkedin.com/company/monmouth-telecom,975,,true
ADVIZEX TECHNOLOGIES,https://www.linkedin.com/company/advizex-technologies,984,,true
ESPRIT DATA,https://www.linkedin.com/company/esprit,996,,true
INFORMATION TECHNOLOGY AND BUSINESS MANAGEMENT CONSULTING,,1004,no available result,false
"Caterpillar, Inc",,1011,no available result,false
LA Fitness,,1024,no available result,false
Worldstrides,,1038,no available result,false
KIMEP University,https://www.linkedin.com/school/kimep/,1045,,true
University of Arizona,https://www.linkedin.com/school/uarizona/,1053,,true
LIMORES.NET INC,,1060,no available result,false
Catalyte,https://www.linkedin.com/company/catalyteio,1068,,true
Collabera,https://www.linkedin.com/company/collabera,1076,,true
Agile Enterprise Solutions,https://www.linkedin.com/company/agile-enterprise-solutions,1087,,true
"Board of Standards, Inc",https://www.linkedin.com/company/csla-board-of-standards,1098,,true
Tapad Inc.,https://www.linkedin.com/company/tapad,1106,,true
The Inter-Mountain Newspaper,,1113,no available result,false
NetAlly,https://www.linkedin.com/company/netally,1123,,true
L & P Technologies,https://www.linkedin.com/,1130,,true
Rogers Public Schools,https://www.linkedin.com/company/rogers-public-schools,1137,,true
Hybrid Cloud Networks,,1146,no available result,false
"Raveon Technologies, Inc",https://www.linkedin.com/company/raveon-technologies-corporation,1154,,true
MRV,https://www.linkedin.com/company/mrvengenharia,1161,,true
Target Corporation,https://www.linkedin.com/company/target-corporation-electronics-manufacturing-services-,1170,,true
INNOVID INC,https://www.linkedin.com/company/innovid,1183,,true
Hollister Company,https://www.linkedin.com/company/hollister-co.,1190,,true
"WIPRO TECHNOLIGIES, LTD",,1203,no available result,false
"INFOSYS TECHNOLOGIES, LTD",https://www.linkedin.com/company/infosys,1210,,true
EPLUS TECHNOLOGY,https://www.linkedin.com/company/eplus-technology,1218,,true
WESTCON GROUP,https://www.linkedin.com/company/westcon-group,1225,,true
MEDIATECH,https://www.linkedin.com/company/mediatech,1233,,true
WINDOW GANG,https://www.linkedin.com/company/window-gang,1240,,true
Drake Software,https://www.linkedin.com/company/drake-software,1248,,true
Adaptive insights,,1255,no available result,false
IPConfigure,https://www.linkedin.com/company/ipconfigure,1263,,true
TECO-Westinghouse,,1275,no available result,false
Global Franchise Group,https://www.linkedin.com/company/gfg-management-llc,1282,,true
Fancy Hands,https://www.linkedin.com/company/fancy-hands,1290,,true
Next Wave Advocacy,https://www.linkedin.com/company/nextwave-advocacy-llc,1298,,true
Rad Media Group Llc,,1307,no available result,false
Community Preservation & Development Corporation,https://www.linkedin.com/company/the-community-preservation-corporation,1314,,true
BERBEE INFORMATION NETWORKS,,1323,no available result,false
Advantage Solutions,https://www.linkedin.com/company/advantage-solutions-sales-marketing-technology,1330,,true
"Congressman Steve Womack, District office",,1338,no available result,false
UNIPHORE,https://www.linkedin.com/company/uniphore,1345,,true
DELL BOOMI,,1353,no available result,false
IGATE TECHNOLOGIES,https://www.linkedin.com/company/igate-technologies,1364,,true
Target Corporation/Home Depot Inc,https://www.linkedin.com/company/target,1375,,true
Virginia Tech,https://www.linkedin.com/school/virginia-tech/,1383,,true
IBM Corp,https://www.linkedin.com/company/ibm,1390,,true
University of Houston Clear Lake,https://www.linkedin.com/school/university-of-houston-clear-lake/,1397,,true
"WebOsk, Inc",,1405,no available result,false
Entrepreneurs Leadership Program,https://www.linkedin.com/company/entrepreneurs-leadership-program,1412,,true
Self-Employed,,1420,no available result,false
Wyng Inc.,,1427,no available result,false
SecuredGrowth Quantitative Research,,1438,no available result,false
CES Government,https://www.linkedin.com/company/cesgovernment/?viewAsMember=true,1447,,true
sephora,https://www.linkedin.com/company/sephora,1456,,true
TRIPADVISOR,https://www.linkedin.com/company/tripadvisor,1463,,true
University of Bristol,https://www.linkedin.com/school/university-of-bristol/,1470,,true
Siemens Carrier Networks,,1477,no available result,false
Network Equipment Technologies,https://www.linkedin.com/company/network-equipment-technologies,1486,,true
United States Air Force and DoD Contractors,,1495,no available result,false
Hilti North America,https://www.linkedin.com/company/hilti-usa,1502,,true
Tech Data Corporation,https://www.linkedin.com/company/tech-data,1510,,true
Digital Equipment Corporation,https://www.linkedin.com/company/digital-equipment-corporation-usa,1517,,true
Ash Capital,https://www.linkedin.com/company/ashcapitalco,1525,,true
ZSCALER,https://www.linkedin.com/company/zscaler,1532,,true
ARROW ELECTRONICS,https://www.linkedin.com/company/arrow-electronics,1540,,true
MNJ TECHNOLOGIES DIRECT,https://www.linkedin.com/company/mnj-technologies-direct,1547,,true
CDW CORPORATION,https://www.linkedin.com/company/cdw,1555,,true
Raritan,https://www.linkedin.com/company/raritan,1562,,true
The Intelligent Choice,https://www.linkedin.com/company/agentsinc,1571,,true
ConnectYourCare,https://www.linkedin.com/company/connectyourcare,1580,,true
Chemonics International,https://www.linkedin.com/company/chemonics-international,1592,,true
"DeVoe Moore Center, Florida State University",,1604,no available result,false
